"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"鐵","tiě","","2","iron (metal)","arms, weapons, hard, strong, violent, unshakeable, determined, close, tight (slang), surname Tie","地鐵","dìtiě","ㄉㄧˋ　ㄊㄧㄝˇ"
"地鐵","dìtiě","","2","subway","metro","","","ㄉㄧˋ　ㄊㄧㄝˇ"
"地方","dìfāng","","2","region","regional (away from the central administration), local, area, place, space, room, territory, CL:處|处[chu4],個|个[ge4],塊|块[kuai4]","","","ㄉㄧˋ　ㄈㄤ"
"附","fù","","2","to add","to attach, to be close to, to be attached, variant of 附[fu4]","附近","fùjìn","ㄈㄨˋ　ㄐㄧㄣˋ"
"近","jìn","","2","near","close to, approximately","附近","fùjìn","ㄈㄨˋ　ㄐㄧㄣˋ"
"附近","fùjìn","","2","(in the) vicinity","nearby, neighboring, next to","","","ㄈㄨˋ　ㄐㄧㄣˋ"
"離","lí","","2","to leave","to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire, ☲, surname Li","","","ㄌㄧˊ"
"往","wǎng","","2","old variant of 往[wang3]","","","","ㄨㄤˇ"
"送","sòng","","2","to deliver","to carry, to give (as a present), to present (with), to see off, to send","","","ㄙㄨㄥˋ"
"帶","dài","","2","band","belt, girdle, ribbon, tire, area, zone, region, to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise, CL:條|条[tiao2]","","","ㄉㄞˋ"
"放","fàng","","2","to put","to place, to release, to free, to let go, to let out, to set off (fireworks)","","","ㄈㄤˋ"
"拿","ná","","2","to hold","to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object), variant of 拿[na2]","","","ㄋㄚˊ"
"進","jìn","","2","to go forward","to advance, to go in, to enter, to put in, to submit, to take in, to admit, (math.) base of a number system, classifier for sections in a building or residential compound","進來","jìnlái","ㄐㄧㄣˋ　ㄌㄞˊ"
"來","lái","","2","to come","to arrive, to come round, ever since, next","進來","jìnlái","ㄐㄧㄣˋ　ㄌㄞˊ"
"進來","jìnlái","","2","to come in","","","","ㄐㄧㄣˋ　ㄌㄞˊ"
"出","chū","","2","variant of 出[chu1] (classifier for plays or chapters of classical novels)","","出去","chūqù","ㄔㄨ　ㄑㄩˋ"
"出去","chūqù","","2","to go out","","","","ㄔㄨ　ㄑㄩˋ"
"站","zhàn","","2","station","to stand, to halt, to stop, branch of a company or organization, website","","","ㄓㄢˋ"
"慢","màn","","2","slow","","","","ㄇㄢˋ"
"遠","yuǎn","","2","far","distant, remote, (intensifier in a comparison) by far, much (lower etc), to distance oneself from (classical)","","","ㄩㄢˇ"
"身","shēn","","2","body","life, oneself, personally, one's morality and conduct, the main part of a structure or body, pregnant, classifier for sets of clothes: suit, twinset, Kangxi radical 158","身體","shēntǐ","ㄕㄣ　ㄊㄧˇ"
"體","tǐ","","2","body","form, style, system, substance, to experience, aspect (linguistics)","身體","shēntǐ","ㄕㄣ　ㄊㄧˇ"
"身體","shēntǐ","","2","the body","one's health, in person, CL:具[ju4],個|个[ge4]","","","ㄕㄣ　ㄊㄧˇ"
"眼","yǎn","","2","eye","small hole, crux (of a matter), classifier for big hollow things (wells, stoves, pots etc), CL:隻|只[zhi1],雙|双[shuang1]","眼睛","yǎnjīng","ㄧㄢˇ　ㄐㄧㄥ"
"睛","jīng","","2","eye","eyeball","眼睛","yǎnjīng","ㄧㄢˇ　ㄐㄧㄥ"
"眼睛","yǎnjīng","","2","eye","CL:隻|只[zhi1],雙|双[shuang1]","","","ㄧㄢˇ　ㄐㄧㄥ"
"藥","yào","","2","medicine","drug, substance used for a specific purpose (e.g. poisoning, explosion, fermenting), to poison, CL:種|种[zhong3],服[fu4],味[wei4]","","","ㄧㄠˋ"
"累","lèi","","2","rope","to bind together, to twist around, surname Lei","","","ㄌㄟˋ"
"雙","shuāng","","2","two","double, pair, both, even (number), surname Shuang","","","ㄕㄨㄤ"
"元","yuán","","2","the Yuan or Mongol dynasty (1279-1368)","currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), meta- (prefix), (math.) argument, variable, (Tw) (geology) eon, surname Yuan","","","ㄩㄢˊ"
"鞋","xié","","2","variant of 鞋[xie2]","","鞋子","xiézi","ㄒㄧㄝˊ　˙ㄗ"
"鞋子","xiézi","","2","shoe","","","","ㄒㄧㄝˊ　˙ㄗ"
"褲","kù","","2","underpants","trousers, pants","褲子","kùzi","ㄎㄨˋㄗ˙"
"褲子","kùzi","","2","trousers","pants, CL:條|条[tiao2]","","","ㄎㄨˋㄗ˙"
"市","shì","","2","market","city, CL:個|个[ge4]","市場","shìchǎng","ㄕˋ　ㄔㄤˇ"
"場","cháng","chǎng","2","threshing floor","classifier for events and happenings: spell, episode, bout, large place used for a specific purpose, stage, scene (of a play), classifier for sporting or recreational activities, classifier for number of exams","市場","shìchǎng","ㄕˋ　ㄔㄤˇ"
"市場","shìchǎng","","2","marketplace","market (also in abstract)","","","ㄕˋ　ㄔㄤˇ"
"衣","yī","yì","2","clothes","to dress, to wear, to put on (clothes), CL:件[jian4]","衣服","yīfu","ㄧ　˙ㄈㄨ"
"服","fú","fù","2","clothes","dress, garment, to serve (in the military, a prison sentence etc), to obey, to be convinced (by an argument), to convince, to admire, to acclimatize, to take (medicine), mourning clothes, to wear mourning clothes, dose (measure word for medicine), Taiwan pr. [fu2]","衣服","yīfu","ㄧ　˙ㄈㄨ"
"衣服","yīfu","","2","clothes","CL:件[jian4],套[tao4]","","","ㄧ　˙ㄈㄨ"
